"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","ProcessName","ProcessId"
"::","49700","::","0","Listen","services","876"
"::","49669","::","0","Listen","spoolsv","2672"
"::","49668","::","0","Listen","lsass","896"
"::","49667","::","0","Listen","svchost","1308"
"::","49666","::","0","Listen","svchost","1528"
"::","49665","::","0","Listen","wininit","732"
"::","49664","::","0","Listen","lsass","896"
"::","47001","::","0","Listen","System","4"
"::","5985","::","0","Listen","System","4"
"::","3389","::","0","Listen","svchost","1236"
"::","445","::","0","Listen","System","4"
"::","135","::","0","Listen","svchost","868"
"0.0.0.0","50303","0.0.0.0","0","Bound","MpDefenderCoreService","2916"
"0.0.0.0","49721","0.0.0.0","0","Bound","svchost","1528"
"192.168.52.144","50303","52.123.130.14","443","Established","MpDefenderCoreService","2916"
"192.168.52.144","50300","52.182.143.208","443","TimeWait","Idle","0"
"192.168.52.144","49721","4.213.25.242","443","Established","svchost","1528"
"0.0.0.0","49700","0.0.0.0","0","Listen","services","876"
"0.0.0.0","49669","0.0.0.0","0","Listen","spoolsv","2672"
"0.0.0.0","49668","0.0.0.0","0","Listen","lsass","896"
"0.0.0.0","49667","0.0.0.0","0","Listen","svchost","1308"
"0.0.0.0","49666","0.0.0.0","0","Listen","svchost","1528"
"0.0.0.0","49665","0.0.0.0","0","Listen","wininit","732"
"0.0.0.0","49664","0.0.0.0","0","Listen","lsass","896"
"0.0.0.0","5040","0.0.0.0","0","Listen","svchost","1320"
"192.168.52.144","3389","106.213.85.160","13581","Established","svchost","1236"
"0.0.0.0","3389","0.0.0.0","0","Listen","svchost","1236"
"192.168.52.144","139","0.0.0.0","0","Listen","System","4"
"0.0.0.0","135","0.0.0.0","0","Listen","svchost","868"
